0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
10,5,0,9,4,4,0,1,4,1,0,0,12,38,0
13,4,0,9,4,2,3,0,4,1,0,0,1,38,0
10,2,1,11,15,0,5,1,4,1,0,0,12,38,0
13,2,8,1,13,2,5,0,2,1,0,0,12,38,0
8,2,9,9,4,2,9,5,2,0,0,0,12,4,0
10,2,8,12,5,2,3,5,4,0,0,0,12,38,0
12,2,1,6,11,3,7,1,2,0,0,0,8,22,0
13,4,1,11,15,2,3,0,4,1,0,0,13,38,1
8,2,0,12,5,4,9,1,4,0,3,0,13,38,1
11,2,1,9,4,2,3,0,4,1,0,0,12,38,1
10,2,8,15,1,2,3,0,2,1,0,0,4,38,1
8,5,1,9,4,2,9,0,1,1,0,0,12,18,1
1,2,0,9,4,4,0,3,4,0,0,0,10,38,0
9,2,1,7,3,4,11,1,2,1,0,0,13,38,0
9,2,8,5,10,2,13,0,0,1,0,0,13,25,0
1,4,1,11,15,4,4,3,4,1,0,0,11,38,0
9,2,1,11,15,4,6,4,4,1,0,0,12,38,0
10,2,0,1,13,2,11,0,4,1,0,0,13,38,0
11,4,8,12,5,0,3,4,4,0,0,0,13,38,1
10,2,1,10,7,2,9,0,4,1,0,0,15,38,1
13,2,8,11,15,5,7,4,2,0,0,0,8,38,0
9,0,0,6,11,2,4,0,2,1,0,0,12,38,0
11,2,0,1,13,2,13,0,4,1,0,12,12,38,0
14,2,0,11,15,0,12,4,4,0,0,0,12,38,0
14,1,1,9,4,2,12,0,4,1,0,0,12,38,1
0,2,1,11,15,4,2,3,4,1,0,0,12,38,0
10,2,9,11,15,0,3,1,4,1,0,0,4,38,0
12,2,1,11,15,2,2,0,4,1,0,0,12,38,0
1,1,1,7,3,4,10,1,4,1,0,0,14,38,0
0,2,8,15,1,4,11,3,2,1,0,0,12,38,0
11,2,9,9,4,0,3,3,4,1,0,10,12,38,0
8,0,0,15,1,2,0,3,4,1,0,0,12,38,0
0,5,9,15,1,2,7,0,2,1,0,0,8,38,0
12,2,8,1,13,4,6,4,4,1,0,0,12,32,0
0,2,1,15,1,4,6,3,4,1,0,0,12,38,0
0,2,11,11,15,1,0,5,4,0,0,0,9,38,0
12,4,8,7,3,2,9,0,4,1,0,0,12,38,0
8,2,11,6,11,2,6,0,4,1,0,0,12,38,0
13,4,0,9,4,2,9,0,4,1,0,0,12,38,0
1,2,1,9,4,2,12,0,4,1,0,0,13,38,0
12,2,0,11,15,5,0,4,4,0,0,0,12,38,0
